2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_005', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_007', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_002', 'boxes': [{'id': 20, 'name': 'Unknown (ID 20)', 'x': 1375, 'y': 130, 'w': 92, 'h': 288, 'orig_w': 2560, 'orig_h': 1440}, {'id': 9, 'name': 'Unknown (ID 9)', 'x': 302, 'y': 1198, 'w': 389, 'h': 239, 'orig_w': 2560, 'orig_h': 1440}]}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_004', 'cam_id': 'cam_003', 'boxes': [{'id': 4, 'name': 'Unknown (ID 4)', 'x': 1909, 'y': 154, 'w': 108, 'h': 345, 'orig_w': 2560, 'orig_h': 1440}]}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_005', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_010', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_015', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_002', 'boxes': [{'id': 20, 'name': 'Unknown (ID 20)', 'x': 1375, 'y': 128, 'w': 94, 'h': 293, 'orig_w': 2560, 'orig_h': 1440}, {'id': 9, 'name': 'Unknown (ID 9)', 'x': 302, 'y': 1196, 'w': 391, 'h': 241, 'orig_w': 2560, 'orig_h': 1440}]}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_014', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_008', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_004', 'cam_id': 'cam_003', 'boxes': [{'id': 4, 'name': 'Unknown (ID 4)', 'x': 1908, 'y': 156, 'w': 109, 'h': 343, 'orig_w': 2560, 'orig_h': 1440}]}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_011', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_006', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_009', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_007', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_004', 'cam_id': 'cam_003', 'boxes': [{'id': 4, 'name': 'Unknown (ID 4)', 'x': 1909, 'y': 154, 'w': 108, 'h': 345, 'orig_w': 2560, 'orig_h': 1440}]}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_002', 'boxes': [{'id': 20, 'name': 'Unknown (ID 20)', 'x': 1378, 'y': 134, 'w': 92, 'h': 289, 'orig_w': 2560, 'orig_h': 1440}, {'id': 9, 'name': 'Unknown (ID 9)', 'x': 304, 'y': 1196, 'w': 388, 'h': 240, 'orig_w': 2560, 'orig_h': 1440}]}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_010', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_005', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_004', 'cam_id': 'cam_003', 'boxes': [{'id': 4, 'name': 'Unknown (ID 4)', 'x': 1905, 'y': 153, 'w': 110, 'h': 345, 'orig_w': 2560, 'orig_h': 1440}]}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_015', 'boxes': []}
2026-07-01 09:16:47 | DEBUG    | websocket_service:58 | {'server_id': 'SV_001', 'cam_id': 'cam_014', 'boxes': []}
